ANIO|AVALOR|ALCALDIA|VALOR|ADD
2026|A010012|01|2518.05|A
2026|A010022|01|2239.49|A
2026|A010032|01|1636.40|A
2026|A010041|01|1680.57|A
2026|A010052|01|2077.76|A
2026|A010067|01|5175.77|A
2026|A010073|01|1957.49|A
2026|A010081|01|2334.08|A
2026|A010093|01|2925.96|A
2026|A010103|01|3234.51|A
2026|A010113|01|5167.62|A
2026|A010125|01|9238.53|A
2026|A010132|01|2257.11|A
2026|A010141|01|1324.69|A
2026|A010151|01|1444.71|A
2026|A010161|01|2166.67|A
2026|A010171|01|1445.05|A
2026|A010181|01|1005.97|A
2026|A010192|01|1725.38|A
2026|A010202|01|1704.00|A
2026|A010211|01|1467.54|A
2026|A010223|01|3083.30|A
2026|A010231|01|2556.46|A
2026|A010241|01|1219.43|A
2026|A010253|01|3394.15|A
2026|A010262|01|1179.54|A
2026|A010272|01|1935.21|A
2026|A010282|01|1669.66|A
2026|A010292|01|2494.78|A
2026|A010302|01|1701.35|A
2026|A010314|01|5681.23|A
2026|A010324|01|4943.76|A
2026|A010337|01|7740.19|A
2026|A010342|01|2092.59|A
2026|A010354|01|6724.85|A
2026|A010362|01|3547.64|A
2026|A010372|01|2546.30|A
2026|A010383|01|2077.52|A
2026|A010392|01|2901.55|A
2026|A010401|01|1582.57|A
2026|A010412|01|3734.50|A
2026|A010425|01|8858.23|A
2026|A010432|01|2782.83|A
2026|A010456|01|9869.16|A
2026|A010463|01|2575.31|A
2026|A010472|01|3179.48|A
2026|A010482|01|3089.78|A
2026|A010491|01|1405.49|A
2026|A010501|01|1954.42|A
2026|A010513|01|3064.17|A
2026|A010522|01|4801.07|A
2026|A010532|01|2347.74|A
2026|A010541|01|2718.43|A
2026|A010551|01|1605.75|A
2026|A010562|01|3094.32|A
2026|A010572|01|2443.01|A
2026|A010582|01|1416.53|A
2026|A010595|01|8600.34|A
2026|A010601|01|1487.93|A
2026|A010611|01|1136.78|A
2026|A010623|01|4954.38|A
2026|A010635|01|7713.22|A
2026|A010646|01|10546.57|A
2026|A010652|01|3817.04|A
2026|A010661|01|1841.91|A
2026|A010675|01|9873.47|A
2026|A010682|01|3330.08|A
2026|A010691|01|1527.19|A
2026|A010705|01|5997.01|A
2026|A010712|01|2464.84|A
2026|A010722|01|1933.67|A
2026|A010732|01|1747.08|A
2026|A010741|01|1543.73|A
2026|A010752|01|2563.99|A
2026|A010762|01|2656.80|A
2026|A010772|01|1895.20|A
2026|A010781|01|1419.31|A
2026|A010791|01|1402.33|A
2026|A010805|01|9255.54|A
2026|A010812|01|1690.19|A
2026|A010822|01|2389.99|A
2026|A010832|01|4630.18|A
2026|A010842|01|1934.97|A
2026|A010852|01|1417.37|A
2026|A010862|01|2288.51|A
2026|A010873|01|2573.29|A
2026|A010882|01|2666.68|A
2026|A010892|01|5967.94|A
2026|A010902|01|1710.01|A
2026|A010913|01|6887.96|A
2026|A010922|01|1878.05|A
2026|A010932|01|2666.74|A
2026|A010942|01|2859.37|A
2026|A010952|01|3886.97|A
2026|A010962|01|2284.61|A
2026|A010972|01|3467.07|A
2026|A010982|01|2545.81|A
2026|A010997|01|1776.62|A
2026|A011002|01|2527.13|A
2026|A011013|01|2758.63|A
2026|A011027|01|3266.55|A
2026|A011032|01|3439.92|A
2026|A011052|01|2375.58|A
2026|A011062|01|3641.73|A
2026|A011072|01|2223.27|A
2026|A011082|01|2948.70|A
2026|A011091|01|1540.10|A
2026|A011103|01|9417.33|A
2026|A011112|01|1721.88|A
2026|A011122|01|2108.65|A
2026|A011132|01|2748.61|A
2026|A011142|01|1544.29|A
2026|A011153|01|2868.83|A
2026|A011166|01|9639.79|A
2026|A011171|01|1017.22|A
2026|A011182|01|2957.79|A
2026|A011192|01|5488.25|A
2026|A011201|01|1758.69|A
2026|A011213|01|3418.28|A
2026|A011220|01|1283.03|A
2026|A011232|01|3096.52|A
2026|A011246|01|10351.83|A
2026|A011250|01|2009.57|A
2026|A011261|01|2172.96|A
2026|A011271|01|1202.47|A
2026|A011282|01|3498.39|A
2026|A011294|01|5019.53|A
2026|A011301|01|1653.86|A
2026|A011321|01|1528.57|A
2026|A011332|01|2941.72|A
2026|A011342|01|5014.71|A
2026|A011359|01|253.11|A
2026|A011361|01|1475.05|A
2026|A011383|01|2668.70|A
2026|A011392|01|1857.16|A
2026|A011406|01|12192.09|A
2026|A011419|01|3670.95|A
2026|A011427|01|4019.83|A
2026|A011439|01|1277.81|A
2026|A011443|01|1273.66|A
2026|A011459|01|855.14|A
2026|A011469|01|4517.05|A
2026|A011473|01|5444.32|A
2026|A011481|01|1014.37|A
2026|A011491|01|1306.96|A
2026|A011501|01|1395.54|A
2026|A011513|01|3231.49|A
2026|A011526|01|16730.95|A
2026|A011531|01|1849.40|A
2026|A011541|01|2047.65|A
2026|A011552|01|2691.23|A
2026|A011561|01|1561.10|A
2026|A011571|01|1286.63|A
2026|A011675|01|1328.81|A
2026|A011687|01|6026.53|A
2026|A011691|01|1760.66|A
2026|A011703|01|4558.21|A
2026|A011712|01|1759.78|A
2026|A011722|01|1797.35|A
2026|A011732|01|1783.58|A
